komentar_preprocessing,label,Nomor
watch sense openness little surprise,positive,6625
much power enough puff,negative,6626
dong show intolerance power deform family tear apart,positive,6627
character come pantomimesque sterotypes,negative,6628
wonderfully loopy tale love longing voting,positive,6629
belated nod neglected star standing shadow motown cultural history best kind informative revealing richly entertaining,positive,6630
problem idea creation going,negative,6631
seems like strange route true love maybe film maker credit believe exactly two people need find,positive,6632
come silly surprised ba murdock rest team seen giving chase black red van,negative,6633
truly moving experience perfect example art done right help heal clarify comfort,positive,6634
melanie eventually slug yankee bad former murphy brown pop reese back,negative,6635
plano fijos tomas largas un ritmo pausado una sutil observaci n de sus personajes sin estridencias ni grandes revelaciones,positive,6636
occasionally funny sometimes inspiring often boring,negative,6637
one significant moviegoing pleasure year,positive,6638
collateral damage finally delivers good schwarzenegger fan,positive,6639
post september sum fear seems tacky reprehensible manipulating collective fear without bestowing subject intelligence sincerity unequivocally deserves,negative,6640
art long shot unlike last year lame musketeer duma adaptation entertains,positive,6641
blair witch style adventure play like bad soap opera passable performance everyone cast,negative,6642
perfect example rancid well intentioned shamelessly manipulative movie making,negative,6643
worthy addition cinematic canon last count numbered different version,positive,6644
anchored friel williams exceptional performance film power lie complexity nothing black white,positive,6645
sort thing work need agile performer proficient dull sorvino light touch rodan league,negative,6646
cold movie claim express warmth longing truth heart porno flick none sheer lust,negative,6647
unfortunate title film nothing endearing,negative,6648
analyze movie three word thumb friggin,negative,6649
chai structure pacing disconcertingly slack,negative,6650
true delight,positive,6651
stereotype omitted clich left unsaid,negative,6652
frenetic really funny,negative,6653
cool slick stuff ready quench thirst audience miss summer blockbuster,positive,6654
alabama manages pleasant spite predictability occasional slowness due primarily perkiness witherspoon always joy watch even material first rate,positive,6655
warm gentle romantic comedy enough interesting character fill several movie ample charm win hard hearted cynic,positive,6656
part work incendiary genius steering clear knee jerk reaction quick solution,positive,6657
conversation may bit enigmatic overly ambitious fully successful sprecher screenwriting partner sister karen sprecher seem ever run idea,positive,6658
one herzog least inspired work,positive,6659
well done film self reflexive philosophical nature,positive,6660
lady duke eric rohmer economical antidote bloated costume drama,positive,6661
fish story little peculiar one thrown back river,negative,6662
best queen campy fun like vincent price horror classic worst implodes series bad special effect,negative,6663
film day nothing film seems everything plaguing human spirit relentlessly globalizing world,positive,6664
nonsensical dull cyber horror flick grim hollow exercise flat scare bad acting,negative,6665
great top moviemaking slap happy mood,positive,6666
egoyan work often elegantly considers various level reality us shifting point view constructed film labyrinthine defeat larger purpose,negative,6667
laconic stilted dialogue indie flick never found audience probably extremely hard relate character,negative,6668
rush save day become involved proceeding matter eh,negative,6669
story structure well honed fresnadillo dark jolting image way plying subconscious like nightmare week ago go away,positive,6670
exactly title implies lusty boisterous utterly charming,positive,6671
undercover brother funny austin power film also one smarter savvier spoof come along time,positive,6672
